adduser	3.118ubuntu5
gir1.2-packagekitglib-1.0	1.2.5-2ubuntu2
git	1:2.34.1-1ubuntu1.11
git-man	1:2.34.1-1ubuntu1.11
gnupg	2.2.27-3ubuntu2.1
gnupg-l10n	2.2.27-3ubuntu2.1
gnupg-utils	2.2.27-3ubuntu2.1
gnupg2	2.2.27-3ubuntu2.1
gpg	2.2.27-3ubuntu2.1
gpg-agent	2.2.27-3ubuntu2.1
gpg-wks-client	2.2.27-3ubuntu2.1
gpg-wks-server	2.2.27-3ubuntu2.1
gpgconf	2.2.27-3ubuntu2.1
gpgsm	2.2.27-3ubuntu2.1
gpgv	2.2.27-3ubuntu2.1
grep	3.7-1build1
gzip	1.10-4ubuntu4.1
hostname	3.23ubuntu2
icu-devtools	70.1-2
init-system-helpers	1.62
iproute2	5.15.0-1ubuntu2
iso-codes	4.9.0-1
libacl1:amd64	2.3.1-1
libapparmor1:amd64	3.0.4-2ubuntu2.4
libappstream4:amd64	0.15.2-2
libapt-pkg6.0:amd64	2.4.13
libarchive13:amd64	3.6.0-1ubuntu1.8
libargon2-1:amd64	0~20171227-0.3
libasan6:amd64	11.4.0-1ubuntu1~22.04.3
libassuan0:amd64	2.5.5-1build1
libatomic1:amd64	12.3.0-1ubuntu1~22.04.3
libattr1:amd64	1:2.5.1-1build1
libaudit-common	1:3.0.7-1build1
libaudit1:amd64	1:3.0.7-1build1
libbinutils:amd64	2.38-4ubuntu2.6
libblas-dev:amd64	3.10.0-2ubuntu1
libblas3:amd64	3.10.0-2ubuntu1
libblkid-dev:amd64	2.37.2-4ubuntu3.6
libblkid1:amd64	2.37.2-4ubuntu3.6
libbpf0:amd64	1:0.5.0-1ubuntu22.04.1
libbrotli-dev:amd64	1.0.9-2build6
libbrotli1:amd64	1.0.9-2build6
libbsd0:amd64	0.11.5-1
libbz2-1.0:amd64	1.0.8-5ubuntu0.1
libbz2-dev:amd64	1.0.8-5ubuntu0.1
libc-bin	2.35-0ubuntu3.8
libc-dev-bin	2.35-0ubuntu3.8
libc6:amd64	2.35-0ubuntu3.8
libc6-dev:amd64	2.35-0ubuntu3.8
libcairo2:amd64	1.16.0-5ubuntu2.1
libcap-ng0:amd64	0.7.9-2.2build3
libcap2:amd64	1:2.44-1ubuntu0.22.04.1
libcap2-bin	1:2.44-1ubuntu0.22.04.1
libcbor0.8:amd64	0.8.0-2ubuntu1
libcc1-0:amd64	12.3.0-1ubuntu1~22.04.3
libcom-err2:amd64	1.46.5-2ubuntu1.2
libcrypt-dev:amd64	1:4.4.27-1
libcrypt1:amd64	1:4.4.27-1
libcryptsetup12:amd64	2:2.4.3-1ubuntu1.2
libctf-nobfd0:amd64	2.38-4ubuntu2.6
libctf0:amd64	2.38-4ubuntu2.6
libcublas-12-4	12.4.5.8-1
libcublas-dev-12-4	12.4.5.8-1
libcufft-12-4	11.2.1.3-1
libcufft-dev-12-4	11.2.1.3-1
libcufile-12-4	1.9.1.3-1
libcufile-dev-12-4	1.9.1.3-1
libcurand-12-4	10.3.5.147-1
libcurand-dev-12-4	10.3.5.147-1
libcurl3-gnutls:amd64	7.81.0-1ubuntu1.18
libcurl4:amd64	7.81.0-1ubuntu1.27
libcurl4-openssl-dev:amd64	7.81.0-1ubuntu1.27
libcusolver-12-4	11.6.1.9-1
libcusolver-dev-12-4	11.6.1.9-1
libcusparse-12-4	12.3.1.170-1
libcusparse-dev-12-4	12.3.1.170-1
libdatrie1:amd64	0.2.13-2
libdb5.3:amd64	5.3.28+dfsg1-0.8ubuntu3
libdbus-1-3:amd64	1.12.20-2ubuntu4.1
libdebconfclient0:amd64	0.261ubuntu1
libdeflate-dev:amd64	1.10-2
libdeflate0:amd64	1.10-2
libdevmapper1.02.1:amd64	2:1.02.175-2.1ubuntu4
libdpkg-perl	1.21.1ubuntu2.3
libdrm-amdgpu1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-common	2.4.113-2~ubuntu0.22.04.1
libdrm-intel1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-nouveau2:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm-radeon1:amd64	2.4.113-2~ubuntu0.22.04.1
libdrm2:amd64	2.4.113-2~ubuntu0.22.04.1
libdw1:amd64	0.186-1build1
libedit2:amd64	3.1-20210910-1build1
libelf1:amd64	0.186-1build1
liberror-perl	0.17029-1
libexpat1:amd64	2.4.7-1ubuntu0.4
libexpat1-dev:amd64	2.4.7-1ubuntu0.4
libext2fs2:amd64	1.46.5-2ubuntu1.2
libffi-dev:amd64	3.4.2-4
libffi8:amd64	3.4.2-4
libfido2-1:amd64	1.10.0-1
libfontconfig-dev:amd64	2.13.1-4.2ubuntu5
libfontconfig1:amd64	2.13.1-4.2ubuntu5
libfontconfig1-dev:amd64	2.13.1-4.2ubuntu5
libfreetype-dev:amd64	2.11.1+dfsg-1ubuntu0.3
libfreetype6:amd64	2.11.1+dfsg-1ubuntu0.3
libfreetype6-dev:amd64	2.11.1+dfsg-1ubuntu0.3
libfribidi-dev:amd64	1.0.8-2ubuntu3.1
libfribidi0:amd64	1.0.8-2ubuntu3.1
libgcc-11-dev:amd64	11.4.0-1ubuntu1~22.04.3
libgcc-s1:amd64	12.3.0-1ubuntu1~22.04.3
libgcrypt20:amd64	1.9.4-3ubuntu3
libgd3:amd64	2.3.0-2ubuntu2
libgdbm-compat4:amd64	1.23-1
libgdbm6:amd64	1.23-1
libgfortran-11-dev:amd64	11.4.0-1ubuntu1~22.04.3
libgfortran5:amd64	12.3.0-1ubuntu1~22.04.3
libgirepository-1.0-1:amd64	1.72.0-1
libgit2-1.1:amd64	1.1.0+dfsg.1-4.1ubuntu0.1
libgit2-dev:amd64	1.1.0+dfsg.1-4.1ubuntu0.1
libgl1:amd64	1.4.0-1
libgl1-mesa-dri:amd64	23.2.1-1ubuntu3.1~22.04.2
libglapi-mesa:amd64	23.2.1-1ubuntu3.1~22.04.2
libglib2.0-0:amd64	2.72.4-0ubuntu2.10
libglib2.0-bin	2.72.4-0ubuntu2.10
libglib2.0-data	2.72.4-0ubuntu2.3
libglib2.0-dev:amd64	2.72.4-0ubuntu2.10
libglib2.0-dev-bin	2.72.4-0ubuntu2.10
libglvnd0:amd64	1.4.0-1
libglx-mesa0:amd64	23.2.1-1ubuntu3.1~22.04.2
libglx0:amd64	1.4.0-1
libgmp10:amd64	2:6.2.1+dfsg-3ubuntu1
libgnutls30:amd64	3.7.3-4ubuntu1.5
libgomp1:amd64	12.3.0-1ubuntu1~22.04.3
libgpg-error0:amd64	1.43-3
libgraphite2-3:amd64	1.3.14-1ubuntu0.1
libgraphite2-dev:amd64	1.3.14-1ubuntu0.1
libgssapi-krb5-2:amd64	1.19.2-2ubuntu0.4
libgstreamer1.0-0:amd64	1.20.3-0ubuntu1
libharfbuzz-dev:amd64	2.7.4-1ubuntu3.2
libharfbuzz-gobject0:amd64	2.7.4-1ubuntu3.2
libharfbuzz-icu0:amd64	2.7.4-1ubuntu3.2
libharfbuzz0b:amd64	2.7.4-1ubuntu3.2
libhogweed6:amd64	3.7.3-1build2
libhttp-parser-dev	2.9.4-4
libhttp-parser2.9:amd64	2.9.4-4
libice6:amd64	2:1.0.10-1build2
libicu-dev:amd64	70.1-2
libicu70:amd64	70.1-2
libidn2-0:amd64	2.3.2-2build1
libip4tc2:amd64	1.8.7-1ubuntu5.2
libisl23:amd64	0.24-2build1
libitm1:amd64	12.3.0-1ubuntu1~22.04.3
libjbig0:amd64	2.1-3.1ubuntu0.22.04.1
libjpeg-dev:amd64	8c-2ubuntu10
libjpeg-turbo8:amd64	2.1.2-0ubuntu1
libjpeg-turbo8-dev:amd64	2.1.2-0ubuntu1
libjpeg8:amd64	8c-2ubuntu10
libjpeg8-dev:amd64	8c-2ubuntu10
libjson-c5:amd64	0.15-3~ubuntu1.22.04.2
libjsoncpp25:amd64	1.9.5-3
libk5crypto3:amd64	1.19.2-2ubuntu0.4
libkeyutils1:amd64	1.6.1-2ubuntu3
libkmod2:amd64	29-1ubuntu1
libkrb5-3:amd64	1.19.2-2ubuntu0.4
libkrb5support0:amd64	1.19.2-2ubuntu0.4
libksba8:amd64	1.6.0-2ubuntu0.2
liblapack-dev:amd64	3.10.0-2ubuntu1
liblapack3:amd64	3.10.0-2ubuntu1
libldap-2.5-0:amd64	2.5.18+dfsg-0ubuntu0.22.04.2
libllvm15:amd64	1:15.0.7-0ubuntu0.22.04.3
liblsan0:amd64	12.3.0-1ubuntu1~22.04.3
liblz4-1:amd64	1.9.3-2build2
liblzma-dev:amd64	5.2.5-2ubuntu1.1
liblzma5:amd64	5.2.5-2ubuntu1.1
libmaxminddb0:amd64	1.5.2-1build2
libmbedcrypto7:amd64	2.28.0-1build1
libmbedtls-dev:amd64	2.28.0-1build1
libmbedtls14:amd64	2.28.0-1build1
libmbedx509-1:amd64	2.28.0-1build1
libmd0:amd64	1.0.4-1build1
libmnl0:amd64	1.0.4-3build2
libmount-dev:amd64	2.37.2-4ubuntu3.6
libmount1:amd64	2.37.2-4ubuntu3.6
libmpc3:amd64	1.2.1-2build1
libmpdec3:amd64	2.5.1-2build2
libmpfr6:amd64	4.1.0-3build3
libnccl-dev	2.21.5-1+cuda12.4
libnccl2	2.21.5-1+cuda12.4
libncurses-dev:amd64	6.3-2ubuntu0.3
libncurses6:amd64	6.3-2ubuntu0.3
libncursesw6:amd64	6.3-2ubuntu0.3
libnettle8:amd64	3.7.3-1build2
libnghttp2-14:amd64	1.43.0-1ubuntu0.2
libnginx-mod-http-geoip2	1.18.0-6ubuntu14.5
libnginx-mod-http-image-filter	1.18.0-6ubuntu14.5
libnginx-mod-http-xslt-filter	1.18.0-6ubuntu14.5
libnginx-mod-mail	1.18.0-6ubuntu14.5
libnginx-mod-stream	1.18.0-6ubuntu14.5
libnginx-mod-stream-geoip2	1.18.0-6ubuntu14.5
libnpp-12-4	12.2.5.30-1
libnpp-dev-12-4	12.2.5.30-1
libnpth0:amd64	1.6-3build2
libnsl-dev:amd64	1.3.0-2build2
libnsl2:amd64	1.3.0-2build2
libnvfatbin-12-4	12.4.127-1
libnvfatbin-dev-12-4	12.4.127-1
libnvjitlink-12-4	12.4.127-1
libnvjitlink-dev-12-4	12.4.127-1
libnvjpeg-12-4	12.3.1.117-1
libnvjpeg-dev-12-4	12.3.1.117-1
libp11-kit0:amd64	0.24.0-6build1
libpackagekit-glib2-18:amd64	1.2.5-2ubuntu2
libpam-modules:amd64	1.4.0-11ubuntu2.4
libpam-modules-bin	1.4.0-11ubuntu2.4
libpam-runtime	1.4.0-11ubuntu2.4
libpam-systemd:amd64	249.11-0ubuntu3.12
libpam0g:amd64	1.4.0-11ubuntu2.4
libpango-1.0-0:amd64	1.50.6+ds-2ubuntu1
libpangocairo-1.0-0:amd64	1.50.6+ds-2ubuntu1
libpangoft2-1.0-0:amd64	1.50.6+ds-2ubuntu1
libpaper-utils	1.1.28build2
libpaper1:amd64	1.1.28build2
libpciaccess0:amd64	0.16-3
libpcre16-3:amd64	2:8.39-13ubuntu0.22.04.1
libpcre2-16-0:amd64	10.39-3ubuntu0.1
libpcre2-32-0:amd64	10.39-3ubuntu0.1
libpcre2-8-0:amd64	10.39-3ubuntu0.1
libpcre2-dev:amd64	10.39-3ubuntu0.1
libpcre2-posix3:amd64	10.39-3ubuntu0.1
libpcre3:amd64	2:8.39-13ubuntu0.22.04.1
libpcre3-dev:amd64	2:8.39-13ubuntu0.22.04.1
libpcre32-3:amd64	2:8.39-13ubuntu0.22.04.1
libpcrecpp0v5:amd64	2:8.39-13ubuntu0.22.04.1
libperl5.34:amd64	5.34.0-3ubuntu1.3
libpixman-1-0:amd64	0.40.0-1ubuntu0.22.04.1
libpkgconf3:amd64	1.8.0-1
libpng-dev:amd64	1.6.37-3ubuntu0.6
libpng16-16:amd64	1.6.37-3ubuntu0.6
libpolkit-agent-1-0:amd64	0.105-33
libpolkit-gobject-1-0:amd64	0.105-33
libpopt0:amd64	1.18-3build1
libprocps8:amd64	2:3.3.17-6ubuntu2.1
libpsl5:amd64	0.21.0-1.2build2
libpython3-stdlib:amd64	3.10.6-1~22.04.1
libpython3.10-minimal:amd64	3.10.12-1~22.04.6
libpython3.10-stdlib:amd64	3.10.12-1~22.04.6
libpython3.11:amd64	3.11.10-1+jammy1
libpython3.11-dev:amd64	3.11.10-1+jammy1
libpython3.11-minimal:amd64	3.11.10-1+jammy1
libpython3.11-stdlib:amd64	3.11.10-1+jammy1
libquadmath0:amd64	12.3.0-1ubuntu1~22.04.3
libreadline-dev:amd64	8.1.2-1
libreadline8:amd64	8.1.2-1
librhash0:amd64	1.4.2-1ubuntu1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build4
libsasl2-2:amd64	2.1.27+dfsg2-3ubuntu1.2
libsasl2-modules-db:amd64	2.1.27+dfsg2-3ubuntu1.2
libseccomp2:amd64	2.5.3-2ubuntu2
libselinux1:amd64	3.3-1build2
libselinux1-dev:amd64	3.3-1build2
libsemanage-common	3.3-1build2
libsemanage2:amd64	3.3-1build2
libsensors-config	1:3.6.0-7ubuntu1
libsensors5:amd64	1:3.6.0-7ubuntu1
libsepol-dev:amd64	3.3-1build1
libsepol2:amd64	3.3-1build1
libsm6:amd64	2:1.2.3-1build2
libsmartcols1:amd64	2.37.2-4ubuntu3.4
libsqlite3-0:amd64	3.37.2-2ubuntu0.3
libss2:amd64	1.46.5-2ubuntu1.2
libssh-4:amd64	0.9.6-2ubuntu0.22.04.3
libssh2-1:amd64	1.10.0-3
libssh2-1-dev:amd64	1.10.0-3
libssl-dev:amd64	3.0.2-0ubuntu1.29
libssl3:amd64	3.0.2-0ubuntu1.29
libstdc++-11-dev:amd64	11.4.0-1ubuntu1~22.04.3
libstdc++6:amd64	12.3.0-1ubuntu1~22.04.3
libstemmer0d:amd64	2.2.0-1build1
libsystemd0:amd64	249.11-0ubuntu3.12
libtasn1-6:amd64	4.18.0-4build1
libtcl8.6:amd64	8.6.12+dfsg-1build1
libthai-data	0.1.29-1build1
libthai0:amd64	0.1.29-1build1
libtiff5:amd64	4.3.0-6ubuntu0.10
libtinfo6:amd64	6.3-2ubuntu0.3
libtirpc-common	1.3.2-2ubuntu0.1
libtirpc-dev:amd64	1.3.2-2ubuntu0.1
libtirpc3:amd64	1.3.2-2ubuntu0.1
libtk8.6:amd64	8.6.12-1build1
libtsan0:amd64	11.4.0-1ubuntu1~22.04.3
libubsan1:amd64	12.3.0-1ubuntu1~22.04.3
libudev1:amd64	249.11-0ubuntu3.12
libunistring2:amd64	1.0-1
libunwind8:amd64	1.3.2-2build2.1
libuuid1:amd64	2.37.2-4ubuntu3.6
libuv1:amd64	1.43.0-1ubuntu0.1
libwebp7:amd64	1.2.2-2ubuntu0.22.04.2
libwrap0:amd64	7.6.q-31build2
libx11-6:amd64	2:1.7.5-1ubuntu0.3
libx11-data	2:1.7.5-1ubuntu0.3
libx11-xcb1:amd64	2:1.7.5-1ubuntu0.3
libxau6:amd64	1:1.0.9-1build5
libxcb-dri2-0:amd64	1.14-3ubuntu3
libxcb-dri3-0:amd64	1.14-3ubuntu3
libxcb-glx0:amd64	1.14-3ubuntu3
libxcb-present0:amd64	1.14-3ubuntu3
libxcb-randr0:amd64	1.14-3ubuntu3
libxcb-render0:amd64	1.14-3ubuntu3
libxcb-shm0:amd64	1.14-3ubuntu3
libxcb-sync1:amd64	1.14-3ubuntu3
libxcb-xfixes0:amd64	1.14-3ubuntu3
libxcb1:amd64	1.14-3ubuntu3
libxdmcp6:amd64	1:1.1.3-0ubuntu5
libxext6:amd64	2:1.3.4-1build1
libxfixes3:amd64	1:6.0.0-1
libxft2:amd64	2.3.4-1
libxml2:amd64	2.9.13+dfsg-1ubuntu0.13
libxml2-dev:amd64	2.9.13+dfsg-1ubuntu0.13
libxmlb2:amd64	0.3.6-2build1
libxmuu1:amd64	2:1.1.3-3
libxpm4:amd64	1:3.5.12-1ubuntu0.22.04.2
libxrender1:amd64	1:0.9.10-1build4
libxshmfence1:amd64	1.3-1build4
libxslt1.1:amd64	1.1.34-4ubuntu0.22.04.1
libxss1:amd64	1:1.2.3-1build2
libxt6:amd64	1:1.2.1-1
libxtables12:amd64	1.8.7-1ubuntu5.2
libxxf86vm1:amd64	1:1.1.4-1build3
libxxhash0:amd64	0.8.1-1
libyaml-0-2:amd64	0.2.2-1build2
libzstd-dev:amd64	1.4.8+dfsg-3build1
libzstd1:amd64	1.4.8+dfsg-3build1
linux-libc-dev:amd64	5.15.0-122.132
login	1:4.8.1-2ubuntu2.2
logsave	1.46.5-2ubuntu1.2
lsb-base	11.1.0ubuntu4
lsb-release	11.1.0ubuntu4
lto-disabled-list	24
mailcap	3.70+nmu1ubuntu1
make	4.3-4.1build1
mawk	1.3.4.20200120-3
media-types	7.0.0
mime-support	3.66
mount	2.37.2-4ubuntu3.4
ncurses-base	6.3-2ubuntu0.1
ncurses-bin	6.3-2ubuntu0.1
nginx	1.18.0-6ubuntu14.5
nginx-common	1.18.0-6ubuntu14.5
nginx-core	1.18.0-6ubuntu14.5
nsight-compute-2024.1.1	2024.1.1.4-1
openssh-client	1:8.9p1-3ubuntu0.10
openssh-server	1:8.9p1-3ubuntu0.10
openssh-sftp-server	1:8.9p1-3ubuntu0.10
openssl	3.0.2-0ubuntu1.18
packagekit	1.2.5-2ubuntu2
passwd	1:4.8.1-2ubuntu2.2
patch	2.7.6-7build2
perl	5.34.0-3ubuntu1.3
perl-base	5.34.0-3ubuntu1.3
perl-modules-5.34	5.34.0-3ubuntu1.3
pinentry-curses	1.1.1-1build2
pkexec	0.105-33
pkgconf	1.8.0-1
policykit-1	0.105-33
polkitd	0.105-33
procps	2:3.3.17-6ubuntu2.1
python-apt-common	2.4.0ubuntu4
python3	3.10.6-1~22.04.1
python3-apt	2.4.0ubuntu4
python3-blinker	1.4+dfsg1-0.4
python3-cffi-backend:amd64	1.15.0-1build2
python3-cryptography	3.4.8-1ubuntu2.2
python3-dbus	1.2.18-3build1
python3-distro	1.7.0-1
python3-distutils	3.10.8-1~22.04
python3-gi	3.42.1-0ubuntu1
python3-httplib2	0.20.2-2
python3-importlib-metadata	4.6.4-1
python3-jeepney	0.7.1-3
python3-jwt	2.3.0-1ubuntu0.2
python3-keyring	23.5.0-1
python3-launchpadlib	1.10.16-1
python3-lazr.restfulclient	0.14.4-1
python3-lazr.uri	1.0.6-2
python3-lib2to3	3.10.8-1~22.04
python3-minimal	3.10.6-1~22.04.1
python3-more-itertools	8.10.0-2
python3-oauthlib	3.2.0-1ubuntu0.1
python3-pkg-resources	59.6.0-1.2ubuntu0.22.04.2
python3-pyparsing	2.4.7-1
python3-secretstorage	3.3.1-1
python3-six	1.16.0-3ubuntu1
python3-software-properties	0.99.22.9
python3-wadllib	1.3.6-1
python3-zipp	1.0.0-3ubuntu0.1
python3.10	3.10.12-1~22.04.6
python3.10-minimal	3.10.12-1~22.04.6
python3.11	3.11.10-1+jammy1
python3.11-dev	3.11.10-1+jammy1
python3.11-minimal	3.11.10-1+jammy1
python3.11-venv	3.11.10-1+jammy1
r-base	4.6.1-6.2204.0
r-base-core	4.6.1-6.2204.0
r-base-dev	4.6.1-6.2204.0
r-cran-arrow	25.0.1-1.ca2204.1
r-cran-askpass	1.2.1-1.ca2204.1
r-cran-assertthat	0.2.1-1.ca2204.1
r-cran-bit	4.6.0-1.ca2204.1
r-cran-bit64	4.8.6-1.ca2204.1
r-cran-boot	1.3-32-1.ca2204.1
r-cran-class	7.3-24-1.ca2204.1
r-cran-cli	3.6.6-1.ca2204.1
r-cran-cluster	2.1.8.3-1.ca2204.1
r-cran-codetools	0.2-20-1.ca2204.1
r-cran-cpp11	0.5.5-1.ca2204.1
r-cran-crayon	1.5.3-1.ca2204.1
r-cran-curl	8.0.0-1.ca2204.1
r-cran-digest	0.6.39-1.ca2204.1
r-cran-dsi	1.8.0-1.ca2204.1
r-cran-dslite	1.4.1-1.ca2204.1
r-cran-filelock	1.0.3-1.ca2204.1
r-cran-foreign	0.8.91-1.ca2204.1
r-cran-glue	1.8.1-1.ca2204.1
r-cran-hms	1.1.4-1.ca2204.1
r-cran-httr	1.4.9-1.ca2204.1
r-cran-jsonlite	2.0.0-1.ca2204.1
r-cran-kernsmooth	2.23-27-1.ca2204.1
r-cran-lattice	0.23-1-1.ca2204.1
r-cran-lifecycle	1.0.5-1.ca2204.1
r-cran-magrittr	2.0.5-1.ca2204.1
r-cran-mass	7.3-66-1.ca2204.1
r-cran-matrix	1.7-6-1.ca2204.1
r-cran-mgcv	1.9-4-1.ca2204.1
r-cran-mime	0.13-1.ca2204.1
r-cran-nlme	3.1.170-1.ca2204.1
r-cran-nnet	7.3-21-1.ca2204.1
r-cran-openssl	2.4.2-1.ca2204.1
r-cran-pkgconfig	2.0.3-1.ca2204.1
r-cran-prettyunits	1.2.0-1.ca2204.1
r-cran-processx	3.9.0-1.ca2204.1
r-cran-progress	1.2.3-1.ca2204.1
r-cran-ps	1.9.3-1.ca2204.1
r-cran-purrr	1.2.2-1.ca2204.1
r-cran-r6	2.6.1-1.ca2204.1
r-cran-remotes	2.5.0-1.ca2204.1
r-cran-rlang	1.3.0-1.ca2204.1
r-cran-rly	1.7.8-1.ca2204.1
r-cran-rpart	4.1.27-1.ca2204.1
r-cran-spatial	7.3-19-1.ca2204.1
r-cran-survival	3.8-12-1.ca2204.1
r-cran-sys	3.4.3-1.ca2204.1
r-cran-tidyselect	1.2.1-1.ca2204.1
r-cran-vctrs	0.7.3-1.ca2204.3
r-cran-withr	3.0.3-1.ca2204.1
r-recommended	4.6.1-6.2204.0
readline-common	8.1.2-1
rpcsvc-proto	1.4.2-0ubuntu6
rsync	3.2.7-0ubuntu0.22.04.7
sed	4.8-1ubuntu2
sensible-utils	0.0.17
software-properties-common	0.99.22.9
systemd	249.11-0ubuntu3.12
systemd-sysv	249.11-0ubuntu3.12
sysvinit-utils	3.01-1ubuntu1
tar	1.34+dfsg-1ubuntu0.1.22.04.2
tzdata	2024a-0ubuntu0.22.04.1
ubuntu-keyring	2021.03.26
ucf	3.0043
unzip	6.0-26ubuntu3.2
usrmerge	25ubuntu2
util-linux	2.37.2-4ubuntu3.4
uuid-dev:amd64	2.37.2-4ubuntu3.6
wget	1.21.2-2ubuntu1.1
x11-common	1:7.7+23ubuntu2
xauth	1:1.1-1build2
xdg-utils	1.1.3-4.1ubuntu3~22.04.1
xz-utils	5.2.5-2ubuntu1
zip	3.0-12build2
zlib1g:amd64	1:1.2.11.dfsg-2ubuntu9.2
zlib1g-dev:amd64	1:1.2.11.dfsg-2ubuntu9.2
